Complexity,Loss,Equation
1,0.0043632486,"0.014332809"
3,0.00042301207,"x0 * -0.16177666"
4,0.00041909676,"sin(x0) * -0.16799879"
5,0.00041670742,"sin(sin(x0)) * -0.17384909"
6,0.000377041,"x0 * (cos(x1) + -1.156464)"
7,3.1773096e-5,"x0 * ((x1 * -0.48244452) + -0.16471109)"
8,2.5419187e-5,"(x1 + 0.3446539) * (sin(x0) * -0.49648008)"
9,2.0989693e-5,"((x1 + 0.34754482) * -0.50971043) * sin(sin(x0))"
10,1.4078579e-5,"sin(x0 * 2.11489) * ((x1 + 0.35666072) * -0.25930038)"
11,1.3955036e-5,"(-0.25918555 * (0.35678288 + sin(x1))) * sin(x0 * 2.1143184)"
12,1.3919228e-5,"sin(-0.26083377 * sin(x0 * 2.1139493)) * (0.35735846 + sin(x1))"
13,1.045773e-5,"(sin(sin(x0)) * -0.1767744) + (x1 * ((x0 * -0.49908513) + -0.022275222))"
14,7.3929646e-6,"(sin(sin(sin(x0))) * -0.1824788) + (((x0 * -0.5001734) + -0.022022469) * x1)"
15,5.8291507e-6,"((x0 * 0.17996283) + ((x1 * (x1 + 0.5292256)) * (x0 + 0.045763563))) * -0.8627065"
16,4.065378e-6,"(sin(x0) * -0.16573465) + ((((x0 + x1) * x1) + x0) * (x1 * -0.4756015))"
17,2.2426334e-6,"((x1 * (((x0 + x1) * x1) + x0)) * -0.4752809) + (sin(sin(x0)) * -0.1715078)"
18,1.4570917e-6,"(sin(sin(sin(x0))) * -0.17698455) + (x1 * ((x0 + ((x1 + x0) * x1)) * -0.47499168))"
19,1.4061557e-6,"(sin(sin(sin(x0))) * -0.17703235) + (((x0 + ((x0 + x1) * x1)) * -0.47738478) * sin(x1))"
20,1.3648909e-6,"(sin(sin(sin(x0))) * -0.17707919) + ((((x1 * (x0 + x1)) + x0) * sin(sin(x1))) * -0.47974005)"
21,1.2962549e-6,"((sin(sin(sin(x0))) * 0.36793485) + (((x1 * x1) + (x0 * (x1 + cos(x1)))) * x1)) * -0.48123413"
22,1.2114401e-6,"((sin(sin(sin(sin(x0)))) * 0.37897566) + (x1 * ((x0 * (x1 + cos(x1))) + (x1 * x1)))) * -0.48100364"
23,1.1462915e-6,"((sin(sin(sin(sin(x0)))) * 0.37718445) + (((x1 * x1) + ((cos(x1) + x1) * x0)) * sin(x1))) * -0.48341835"
24,1.0616558e-6,"((((x0 * (x1 + cos(x1))) + (x1 * x1)) * (x1 + 0.0232262)) + (sin(sin(sin(sin(x0)))) * 0.3617718)) * -0.4702609"
25,9.903572e-7,"((sin(sin(sin(sin(x0)))) * 0.35982057) + ((((x1 + cos(x1)) * x0) + (x1 * x1)) * sin(x1 + 0.023053158))) * -0.47317836"
26,6.2880673e-7,"((sin(sin(sin(sin(x0)))) * 0.36953178) + ((x0 + (x1 * x1)) * ((x1 + -0.02604536) * (x1 + cos(-0.39329144 - x1))))) * -0.53816646"
27,6.206009e-7,"((sin(sin(sin(sin(x0)))) * 0.36388135) + (sin((-0.020071575 + x1) * (x1 + cos(-0.3905468 - x1))) * (x0 + (x1 * x1)))) * -0.5373347"
28,5.9915436e-7,"sin(((((x1 + cos(x1 - -0.39142987)) * (x0 + (x1 * x1))) * (sin(x1) + -0.025390822)) + (sin(sin(sin(sin(x0)))) * 0.36701697)) * -0.54182154)"
29,5.973457e-7,"sin(sin(((x1 + cos(-0.38994262 - x1)) * (((x1 * x1) + x0) * (sin(x1) + -0.024850097))) + (sin(sin(sin(sin(x0)))) * 0.3651678)) * -0.5460109)"
30,5.806898e-7,"sin(sin(((((x1 * x1) + x0) * ((cos(-0.39021906 - x1) + x1) * (sin(sin(x1)) + -0.024729881))) + (sin(sin(sin(sin(x0)))) * 0.36580813)) * -0.5439353))"
