Complexity,Loss,Equation
1,0.007598186,"-0.0073099034"
3,0.0034756481,"x0 * -0.0888555"
4,0.0032856828,"sin(x0) * -0.10428822"
5,0.003079731,"(x0 + x1) * -0.09121858"
6,0.0022267662,"(-0.109320804 - x1) * sin(x0)"
7,0.00091293623,"(x1 - -0.17638727) * (x0 * -0.5154691)"
8,0.00051574194,"x0 * (exp(x1 * 4.1498733) * -0.075514555)"
9,0.00042240752,"(exp(x1 * 3.8991165) * -0.08975478) * sin(x0)"
10,0.00025466175,"((x0 * exp(x1 * 3.994748)) * -0.08249586) + 0.016980877"
11,0.00019952781,"(((x1 * (-0.36599913 - x1)) + -0.07974906) * x0) - -0.016297368"
12,8.562057e-5,"(x0 * (exp((x1 * 3.5285437) + 0.88741297) - x0)) * -0.041550677"
13,8.1487924e-5,"x0 * sin((exp((x1 * 3.5904157) + 0.87746114) - x0) * -0.042056624)"
14,8.1029604e-5,"((exp((x1 * 3.4758804) + 0.76338136) - x0) * (x0 * -0.04808393)) + -0.0041047647"
15,4.3266045e-5,"((x0 * x1) * (-0.37608632 - x1)) + (((x0 + -2.4031816) * 0.039978914) * x0)"
16,3.5389552e-5,"(sin(x0) * ((x0 - 2.716758) * 0.038631406)) + ((-0.37766644 - x1) * (x1 * x0))"
17,3.48365e-5,"(((-0.3860571 - x1) * x0) * sin(x1)) + (((x0 - 2.728962) * 0.038643707) * sin(x0))"
18,3.0168914e-5,"(sin(x0) * ((x0 - 2.709709) * 0.03877019)) + ((-0.36933002 - x1) * ((x0 + 0.026470274) * x1))"
19,2.745728e-5,"((x0 + 0.031814817) * ((-0.37570143 - x1) * sin(x1))) + (((x0 - 2.7128553) * 0.03891298) * sin(x0))"
20,2.668205e-5,"(sin(x1) * ((x0 + 0.035428368) * (-0.37775743 - sin(x1)))) + ((x0 - 2.667834) * (sin(x0) * 0.03974087))"
21,2.6509535e-5,"(sin(x0) * (((x0 + x1) - 2.6923056) * 0.039229117)) + ((-0.4115321 - x1) * ((x0 + 0.029608084) * sin(x1)))"
22,2.6012021e-5,"((x0 + (x1 - 2.6919205)) * (sin(x0) * 0.039354075)) + (sin(x1) * ((x0 + 0.032218277) * (-0.41427836 - sin(x1))))"
23,2.0997808e-5,"((x0 * (((sin(x1 + x1) + 0.709885) * -6.485043) + exp(x0))) * 0.02987801) + ((-0.014519344 - (x0 * x1)) * x1)"
24,2.08692e-5,"(sin(-0.015108119 - (x1 * x0)) * x1) + ((((sin(x1 + x1) + 0.70884854) * -6.486361) + exp(x0)) * (x0 * 0.02999179))"
25,1.8682727e-5,"(x0 * ((exp(x0) * 0.02917683) + (((x1 / cos(x0)) + (x1 + 0.91336673)) * -0.14784649))) - ((x1 + 0.023092255) * (x1 * x0))"
26,1.8663886e-5,"(0.031381797 * ((exp(x0) + ((0.7117254 + sin(x1 + x1)) * -6.2757797)) * x0)) + (((-0.016880248 - (x0 * sin(x1))) * x1) - 0.0019929933)"
27,1.652678e-5,"(x1 * (-0.01852232 - (x1 * x0))) + ((((exp(x0) * 0.032718327) + ((sin(x1 + (x1 / 0.6322704)) + 0.9181142) * -0.15558726)) * x0) + -0.0028643864)"
28,1.619866e-5,"((x0 * ((exp(x0) * 0.034477666) + ((sin((x1 / 0.632282) + x1) + 0.9148328) * -0.16129525))) + (x1 * (-0.022746388 - (x1 * sin(x0))))) + -0.0046039857"
30,1.59958e-5,"((x0 * ((exp(x0) * 0.034477666) + ((sin((x1 / 0.632282) + x1) + 0.9148328) * -0.16129525))) + ((-0.022746388 - (x1 * sin(x0))) * (x1 - 0.0033132732))) + -0.0046039857"
