Complexity,Loss,Equation
1,0.007598186,"-0.007309753"
3,0.0034756481,"x0 * -0.088855445"
4,0.0032856828,"sin(x0) * -0.10428827"
5,0.003079731,"(x0 + x1) * -0.09121858"
6,0.0022267662,"(-0.10932127 - x1) * sin(x0)"
7,0.00091293623,"((-0.17639223 - x1) * x0) * 0.51546043"
8,0.0007125105,"(x1 + 0.18932097) * (sin(x0) * -0.5658932)"
9,0.0004333419,"(((-0.37405917 - x1) * x1) - 0.07210237) * x0"
10,0.00022867374,"x0 * ((x1 + (cos(x0) * 0.2906501)) * -0.5267048)"
11,0.0001490994,"(sin(x0) * -0.57925516) * (x1 + (cos(x0) * 0.29814255))"
12,6.1977946e-5,"(x0 * (x1 + ((cos(x0) + x1) + -0.2808037))) * -0.267219"
13,6.0161925e-5,"(x0 * ((cos(x0) + sin(x1 + -0.29102945)) + x1)) * -0.27013814"
14,3.957289e-5,"((x0 * -0.268456) - 0.008800965) * ((x1 + (cos(x0) + x1)) + -0.2842726)"
15,2.9147977e-5,"(sin(x0 - -0.052226737) * -0.29092792) * (x1 + ((x1 + cos(x0)) + -0.27030087))"
16,1.2065098e-5,"(((x1 + x1) + cos(x0)) + -0.27464554) * ((x0 - (x1 * -0.17344241)) * -0.2603748)"
17,4.5135534e-6,"((cos(x0) + (x1 + x1)) + -0.25660843) * (((x1 * 0.19294213) + sin(x0)) * -0.2774725)"
19,3.3269948e-6,"(((x1 + cos(x0 + -0.0113151735)) + (x1 + -0.26768064)) * sin(x0 - (-0.21220835 * x1))) * -0.28362536"
20,3.2910261e-6,"(sin(x1) + (-0.27005398 + (cos(x0 + -0.012370891) + x1))) * (-0.28547758 * sin(x0 - (x1 * -0.21538977)))"
21,2.592016e-6,"((((x1 + x1) + cos(x0 + -0.019221509)) + -0.27109548) * sin(((0.060452268 - x1) * -0.2476566) + x0)) * -0.2833064"
22,2.5225577e-6,"sin(x0 + ((0.06287372 - x1) * -0.25094596)) * ((((cos(x0 + -0.021063985) + -0.27365613) + sin(x1)) + x1) * -0.28504857)"
26,1.9393292e-6,"(((((x1 + cos(x0 + -0.020341879)) * cos(x0 * x1)) + -0.27666146) + x1) * -0.29089552) * sin(x0 + ((0.032761365 - x1) * -0.24139304))"
28,1.6259439e-6,"(((((x1 + cos(x0 + -0.020016588)) + x1) * cos((x0 * x1) + -0.03791275)) + -0.2755156) * -0.2906315) * sin(((0.034629807 - x1) * -0.23981151) + x0)"
30,1.4960516e-6,"(((((x1 + x1) + cos(x0 + -0.025623288)) * cos((x0 * x1) + -0.03795633)) + -0.27605423) * (sin(x0 + ((0.025846213 - x1) * -0.23856835)) * -0.2904788)) - -0.0010016777"
