Complexity,Loss,Equation
1,0.97000164,"-0.028345479"
3,0.075066075,"x1 * -4.7665124"
5,0.06331973,"x1 * (-4.752198 - x1)"
6,0.05952877,"(1.0040451 - exp(x1)) * 4.6356463"
7,0.058747523,"(-4.7600045 - (x1 + x2)) * x1"
8,0.03817155,"(x1 * -4.9814696) + (sin(x0) * 0.28089672)"
10,0.02447318,"(sin(x0) * 0.28823268) + ((-4.9726915 - x1) * x1)"
12,0.01846196,"(x1 * (-4.9635677 - (x1 / 0.44817805))) + (sin(x0) * 0.2974271)"
13,0.017936544,"((x2 - sin(x0)) * -0.26624233) + (x1 * (-3.9373934 - exp(x1)))"
14,0.010341946,"(((x2 - sin(x0)) * 0.057717096) + x1) * (-5.00938 - (x1 / 0.38976198))"
16,0.0050054374,"((x2 - sin(x0)) * -0.27884415) + ((-5.028177 - (x2 + (x1 / 0.39538822))) * x1)"
18,0.0036510245,"(((-5.03959 - (x1 / 0.39722013)) - x2) * x1) + ((x2 * -0.20381244) - (sin(x0) * -0.30612278))"
20,0.0016509083,"(((-5.0577617 - (x1 / 0.39507106)) - x2) * x1) + (((x2 * (x2 * x2)) - sin(x0)) * -0.31827694)"
22,8.655273e-5,"(x1 * ((-5.0642004 - (x1 / 0.38871056)) - x2)) + (((x2 * ((x2 * x2) / 0.60020083)) - sin(x0)) * -0.30091)"
24,8.3212864e-5,"((x1 * ((-5.0634613 - (x1 / 0.38527784)) - x2)) + ((((x2 * x2) * (x2 / 0.6007855)) - sin(x0)) * -0.30093774)) + 0.0023245646"
26,8.321104e-5,"(((-5.063313 - (x1 / 0.3852748)) - x2) * x1) + ((((((x2 * (x2 / 0.6006351)) * x2) + -0.0042712996) - sin(x0)) * -0.30091077) + 0.0010412337)"
27,8.206409e-5,"(((-5.0629272 - (x1 / 0.38912606)) - x2) * x1) + (cos(x1 * x1) * (((x2 * ((x2 * x2) / 0.6004826)) - sin(x0)) * -0.30139318))"
28,8.098458e-5,"(x1 * ((-5.0623393 - (x1 / 0.39039496)) - x2)) + (cos(x1 / exp(x0)) * (((((x2 * x2) * x2) / 0.59776556) - sin(x0)) * -0.30100757))"
29,7.7356526e-5,"(((-5.0605683 - (x1 / 0.38985866)) - x2) * x1) + (cos(x1 * (x1 / 0.59990937)) * ((((x2 * x2) * (x2 / 0.6006406)) - sin(x0)) * -0.30221567))"
