# t,q1,q2,p1,p2,H
0.000000000000000000e+00,1.570796326794896558e+00,1.570796326794896558e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.942999999999999616e+01
3.333888981496915989e-03,1.570741808623724811e+00,1.570796326794831721e+00,-6.541090179752784284e-02,-3.270545090848476361e-02,2.942999999999999616e+01
6.667777962993831978e-03,1.570578254112478866e+00,1.570796326790748099e+00,-1.308218030118070974e-01,-6.541090181696893047e-02,2.942999999999999616e+01
1.000166694449074883e-02,1.570305663281575503e+00,1.570796326747645244e+00,-1.962327007265916301e-01,-9.811635272545408959e-02,2.942999999999999616e+01
1.333555592598766396e-02,1.569924036210414764e+00,1.570796326529408704e+00,-2.616435873596358874e-01,-1.308218036339529045e-01,2.942999999999999261e+01
1.666944490748457908e-02,1.569433373105435070e+00,1.570796325782144010e+00,-3.270544483296393135e-01,-1.635272545425674739e-01,2.942999999999999972e+01
2.000333388898149767e-02,1.568833674395391675e+00,1.570796323770841774e+00,-3.924652597231004236e-01,-1.962327054516810332e-01,2.942999999999999261e+01
2.333722287047841279e-02,1.568124940853853344e+00,1.570796319169383670e+00,-4.578759859609021765e-01,-2.289381563624993121e-01,2.942999999999999261e+01
2.667111185197532791e-02,1.567307173748908600e+00,1.570796309803901281e+00,-5.232865774644284151e-01,-2.616436072782097333e-01,2.943000000000000682e+01
3.000500083347224303e-02,1.566380375020128612e+00,1.570796292349416978e+00,-5.886969683209797299e-01,-2.943490582060351857e-01,2.943000000000032657e+01
3.333888981496915815e-02,1.565344547482394599e+00,1.570796261980388353e+00,-6.541070739472831796e-01,-3.270545091617933497e-01,2.943000000000031235e+01
3.667277879646607675e-02,1.564199695057575168e+00,1.570796211973588763e+00,-7.195167887526865425e-01,-3.597599601747775711e-01,2.943000000000047223e+01
4.000666777796299534e-02,1.562945823032623194e+00,1.570796133265616179e+00,-7.849259837978814769e-01,-3.924654112985560550e-01,2.943000000000126803e+01
4.334055675945990699e-02,1.561582938344799665e+00,1.570796013963892124e+00,-8.503345044504967420e-01,-4.251708626258059454e-01,2.943000000000236227e+01
4.667444574095682558e-02,1.560111049894106428e+00,1.570795838811026579e+00,-9.157421680364394856e-01,-4.578763143086100329e-01,2.943000000000286676e+01
5.000833472245373723e-02,1.558530168882679812e+00,1.570795588602960091e+00,-9.811487614850042949e-01,-4.905817665868212885e-01,2.943000000000215621e+01
5.334222370395065582e-02,1.556840309180892890e+00,1.570795239561288303e+00,-1.046554038965764377e+00,-5.232872198271070197e-01,2.943000000000042604e+01
5.667611268544757441e-02,1.555041487719916349e+00,1.570794762660185251e+00,-1.111957719515260568e+00,-5.559926745752750143e-01,2.942999999999872074e+01
6.001000166694448607e-02,1.553133724910488622e+00,1.570794122908328205e+00,-1.177359484651502974e+00,-5.886981316244953577e-01,2.942999999999821270e+01
6.334389064844139772e-02,1.551117045087643254e+00,1.570793278586237740e+00,-1.242758975974306068e+00,-6.214035921020200082e-01,2.942999999999905114e+01
6.667777962993831631e-02,1.548991476981190996e+00,1.570792180439371410e+00,-1.308155792749374768e+00,-6.541090575771021376e-01,2.942999999999964444e+01
7.001166861143523490e-02,1.546757054213011795e+00,1.570790770825335469e+00,-1.373549489469015228e+00,-6.868145301983752393e-01,2.942999999999993932e+01
7.334555759293215349e-02,1.544413815818096891e+00,1.570788982820118918e+00,-1.438939573389236060e+00,-7.195200128628451708e-01,2.942999999999989669e+01
7.667944657442907208e-02,1.541961806790415057e+00,1.570786739281637034e+00,-1.504325502041135243e+00,-7.522255094185196223e-01,2.943000000000047223e+01
8.001333555592599067e-02,1.539401078652441024e+00,1.570783951872503525e+00,-1.569706680707253055e+00,-7.849310249122781746e-01,2.943000000000168370e+01
8.334722453742289539e-02,1.536731690048269927e+00,1.570780520042184936e+00,-1.635082459862024162e+00,-8.176365658846886930e-01,2.943000000000233740e+01
8.668111351891981398e-02,1.533953707359682062e+00,1.570776329969606699e+00,-1.700452132570493324e+00,-8.503421407193065829e-01,2.943000000000134975e+01
9.001500250041673257e-02,1.531067205343967119e+00,1.570771253468176143e+00,-1.765814931839600810e+00,-8.830477600540367344e-01,2.942999999999906180e+01
9.334889148191365116e-02,1.528072267792310202e+00,1.570765146855188865e+00,-1.831170027916336096e+00,-9.157534372621448648e-01,2.942999999999734229e+01
9.668278046341056975e-02,1.524968988207544562e+00,1.570757849787585814e+00,-1.896516525527066177e+00,-9.484591890104949741e-01,2.942999999999796756e+01
1.000166694449074745e-01,1.521757470500077147e+00,1.570749184066028148e+00,-1.961853461052333936e+00,-9.811650359025984036e-01,2.942999999999951655e+01
1.033505584264043931e-01,1.518437829702456554e+00,1.570738952406704803e+00,-2.027179799629979406e+00,-1.013871003215933708e+00,2.942999999999989313e+01
1.066844474079013116e-01,1.515010192700138481e+00,1.570726937184927507e+00,-2.092494432178853003e+00,-1.046577121744399985e+00,2.942999999999985761e+01
1.100183363893982302e-01,1.511474698975073583e+00,1.570712899155778164e+00,-2.157796172338551699e+00,-1.079283428751831364e+00,2.943000000000027327e+01
1.133522253708951488e-01,1.507831501362371096e+00,1.570696576151785706e+00,-2.223083753316333233e+00,-1.111989969049052673e+00,2.943000000000159844e+01
1.166861143523920535e-01,1.504080766817651682e+00,1.570677681761469380e+00,-2.288355824634635383e+00,-1.144696796203393374e+00,2.943000000000255767e+01
1.200200033338889721e-01,1.500222677193920218e+00,1.570655903990813895e+00,-2.353610948771829747e+00,-1.177403973891073541e+00,2.943000000000144212e+01
1.233538923153858907e-01,1.496257430025297985e+00,1.570630903912116905e+00,-2.418847597689447682e+00,-1.210111577402397609e+00,2.942999999999803151e+01
1.266877812968827954e-01,1.492185239314953726e+00,1.570602314304646363e+00,-2.484064149239129549e+00,-1.242819695309687944e+00,2.942999999999470973e+01
1.300216702783797140e-01,1.488006336324572576e+00,1.570569738291549111e+00,-2.549258883442553358e+00,-1.275528431307894950e+00,2.942999999999524974e+01
1.333555592598766326e-01,1.483720970362702118e+00,1.570532747977447796e+00,-2.614429978637570429e+00,-1.308237906237817105e+00,2.942999999999945970e+01
1.366894482413735512e-01,1.479329409570652398e+00,1.570490883089192158e+00,-2.679575507484944108e+00,-1.340948260301332295e+00,2.942999999999973681e+01
1.400233372228704698e-01,1.474831941705977201e+00,1.570443649620453019e+00,-2.744693432834399704e+00,-1.373659655474968933e+00,2.942999999999974037e+01
1.433572262043673884e-01,1.470228874911784001e+00,1.570390518498225862e+00,-2.809781603437262021e+00,-1.406372278135010312e+00,2.942999999999966576e+01
1.466911151858643070e-01,1.465520538476899892e+00,1.570330924264483174e+00,-2.874837749510804841e+00,-1.439086341895221555e+00,2.942999999999944549e+01
1.500250041673612256e-01,1.460707283580727767e+00,1.570264263782870096e+00,-2.939859478147633709e+00,-1.471802090666894713e+00,2.942999999999902627e+01
1.533588931488581442e-01,1.455789484020221902e+00,1.570189894975039469e+00,-3.004844268568582333e+00,-1.504519801946837987e+00,2.942999999999791427e+01
1.566927821303550628e-01,1.450767536915604117e+00,1.570107135592508030e+00,-3.069789467220918500e+00,-1.537239790335107603e+00,2.942999999999604555e+01
