Complexity,Loss,Equation
1,0.0043632486,"0.014332857"
3,0.00042301213,"x0 * -0.16177697"
4,0.00041909682,"sin(x0) * -0.16799347"
5,0.00041851992,"(x0 * -0.16317739) + -0.0021912938"
6,0.00019528747,"x0 * (exp(x1) * -0.16534743)"
7,3.1773096e-5,"x0 * (-0.16470993 - (x1 * 0.48243392))"
8,1.94469e-5,"(x0 * exp(x1 * 2.792584)) * -0.1575638"
9,1.8099508e-5,"(exp(x1 * 2.7363822) * -0.16385874) * sin(x0)"
10,1.3696894e-5,"(exp(x1 / 0.35681918) * 0.15865467) * (-0.01320724 - x0)"
11,1.3198683e-5,"(exp(sin(x1 / 0.33943188)) * (-0.01195156 - x0)) * 0.15875284"
12,6.118857e-6,"((x1 * -0.103455774) - x0) * (exp(x1 / 0.34944543) * 0.15727228)"
13,5.011899e-6,"exp(x1 / 0.35772958) * (sin((x1 * -0.10412166) - x0) * 0.16358893)"
14,3.818537e-6,"(exp(sin(x1 / 0.33761775)) * 0.16373503) * sin((x1 * -0.103942364) - x0)"
