Complexity,Loss,Equation
1,0.0043632486,"0.014332833"
3,0.00042301213,"x0 * -0.1617772"
4,0.00041909682,"sin(x0) * -0.1679929"
5,0.00041851992,"(x0 * -0.1631781) - 0.0021916146"
6,0.00019528746,"(exp(x1) * x0) * -0.16534765"
7,3.1773114e-5,"((-0.3413493 - x1) * x0) * 0.4825115"
8,1.9446901e-5,"(x0 * -0.15756357) / exp(x1 * -2.7925782)"
9,1.8469615e-5,"(exp(sin(x1 / 0.33878392)) * x0) * -0.15768816"
10,1.36969265e-5,"((x0 * -0.15874591) + -0.0020957908) / exp(x1 * -2.7925744)"
11,1.3172281e-5,"((x0 * -0.1587755) + -0.0020294904) / exp(sin(x1 * -2.9542913))"
12,6.147727e-6,"((x0 * -0.15751375) + (x1 * -0.016337482)) / exp(x1 * -2.8377354)"
13,6.128917e-6,"(((x0 * -0.15764272) + -0.007144006) / exp(sin(x1 * -3.0214372))) - -0.006584518"
