Complexity,Loss,Equation
1,0.0043632486,"0.0143328365"
3,0.00042301213,"x0 * -0.16177694"
4,0.00041909682,"sin(x0) * -0.16799347"
5,0.00041851998,"(x0 - -0.013430856) * -0.16317818"
6,0.00019528747,"exp(x1) * (x0 * -0.16534767)"
7,3.1773096e-5,"x0 * (-0.16470909 - (x1 * 0.48243377))"
8,2.5419191e-5,"((-0.34466052 - x1) * 0.4964664) * sin(x0)"
9,1.8469596e-5,"(exp(sin(x1 * 2.9523625)) * x0) * -0.15768443"
10,1.4483803e-5,"(-0.3550396 - x1) * (sin(x0 + x0) * 0.2704393)"
11,1.4384296e-5,"(sin(x0 + x0) * (-0.35348344 - sin(x1))) * 0.27173346"
12,9.4156685e-6,"(sin((x0 + x0) + 0.029832736) * (-0.35474607 - x1)) * 0.2722576"
13,9.358059e-6,"(sin((x0 + x0) + 0.029832736) * (-0.35474607 - sin(x1))) * 0.2722576"
14,2.78664e-6,"(-0.3505249 - x1) * (sin(x0 + ((x1 * 0.20775005) + x0)) * 0.2740106)"
