Complexity,Loss,Equation
1,348.23245,"10.978152"
2,283.8271,"square(x0)"
3,0.5886394,"x0 / 0.100627"
5,0.15575583,"(x0 / 0.1023463) + 0.7509641"
6,0.062065706,"square(x1) + (x0 / 0.10192627)"
8,0.030538956,"square(x1 / 0.87442744) + (x0 / 0.102331966)"
9,0.004706011,"(x0 / 0.10219477) + square(square(x1 / 0.85728085))"
10,0.0024300597,"(x0 / 0.10199247) + square(square(square(x1) + 0.25934067))"
12,0.00095118274,"square(1.2443238 - cos(x1 / cos(x1))) + (x0 / 0.10209418)"
14,0.0007486911,"square(cos(x1 / cos(x1 + -0.008380326)) - 1.2350446) + (x0 / 0.10208638)"
16,8.5042426e-5,"square(x1 / (cos(x1 / (-0.13601194 - cos(x1))) - -0.41443855)) + (x0 / 0.102035165)"
17,8.504237e-5,"(square(x1) / square(cos(x1 / (-0.13601194 - cos(x1))) - -0.41443855)) + (x0 / 0.102035165)"
18,8.00899e-5,"square(x1 / (cos(x1 / (-0.13601194 - cos(x1))) - -0.41443855)) + ((x0 / 0.10203821) + 0.004776807)"
20,3.9239352e-5,"(square(x1 / (cos(x1 / (cos(x1 - -0.0045883497) - -0.13535067)) - -0.41382164)) + (x0 / 0.10204581)) - -0.005994427"
